lsoa21cd,IMD19
E01014634,23040.0
E01014635,20291.0
E01014636,4934.0
E01014637,23494.0
E01014638,1587.0
E01014639,1445.0
E01014640,3934.0
E01014641,16327.0
E01014642,17299.0
E01014643,4593.0
E01014644,9056.0
E01014645,11053.0
E01014646,9416.0
E01014647,2467.0
E01014648,21206.0
E01014649,22285.0
E01014650,10224.0
E01014651,22686.0
E01014653,743.0
E01014654,1881.0
E01014655,2334.0
E01014658,1634.0
E01014659,6246.0
E01014660,4499.0
E01014661,6222.0
E01014662,12497.0
E01014663,3249.0
E01014664,6979.0
E01014665,13351.0
E01014666,30477.0
E01014667,30062.0
E01014668,27824.0
E01014669,26645.0
E01014670,21086.0
E01014671,16268.0
E01014672,24618.0
E01014673,8667.0
E01014674,8933.0
E01014675,13783.0
E01014676,11238.0
E01014677,19709.0
E01014678,13932.0
E01014679,16600.0
E01014680,19981.0
E01014681,11208.0
E01014682,7789.0
E01014683,6245.0
E01014684,7821.0
E01014685,4560.0
E01014686,10698.0
E01014687,8389.0
E01014688,2480.0
E01014689,613.0
E01014690,7419.0
E01014691,5368.0
E01014692,4677.0
E01014693,23312.0
E01014694,4996.0
E01014695,8839.0
E01014696,26803.0
E01014698,22763.0
E01014699,10787.0
E01014700,25217.0
E01014701,19457.0
E01014702,20740.0
E01014703,2246.0
E01014704,11746.0
E01014705,23920.0
E01014706,2676.0
E01014707,14910.0
E01014708,15316.0
E01014709,22851.0
E01014710,29847.0
E01014711,30805.0
E01014712,22463.0
E01014713,30769.0
E01014714,30599.0
E01014715,31914.0
E01014716,31522.0
E01014717,31704.0
E01014718,30787.0
E01014719,26487.0
E01014720,14010.0
E01014721,24058.0
E01014722,22322.0
E01014723,23169.0
E01014725,27319.0
E01014726,91.0
E01014727,226.0
E01014729,2892.0
E01014730,8845.0
E01014731,11426.0
E01014732,16246.0
E01014733,18856.0
E01014734,20081.0
E01014735,20265.0
E01014736,9837.0
E01014737,32773.0
E01014738,27044.0
E01014739,25523.0
E01014740,23057.0
E01014741,27133.0
E01014742,32672.0
E01014744,20039.0
E01014745,24539.0
E01014746,12966.0
E01014747,24285.0
E01014748,28487.0
E01014749,31684.0
E01014750,19067.0
E01014751,15437.0
E01014752,28890.0
E01014753,14293.0
E01014754,26176.0
E01014755,27199.0
E01014756,20504.0
E01014757,27863.0
E01014758,26010.0
E01014759,32501.0
E01014760,22806.0
E01014761,29882.0
E01014762,29114.0
E01014763,22434.0
E01014764,19633.0
E01014765,26336.0
E01014766,24858.0
E01014767,32306.0
E01014770,21875.0
E01014771,25316.0
E01014772,18857.0
E01014773,23422.0
E01014774,10808.0
E01014775,31417.0
E01014776,32076.0
E01014777,29776.0
E01014778,32531.0
E01014779,27099.0
E01014780,18838.0
E01014781,16523.0
E01014782,30507.0
E01014783,20347.0
E01014784,27667.0
E01014785,29037.0
E01014786,12371.0
E01014787,27410.0
E01014789,29352.0
E01014790,29701.0
E01014792,29374.0
E01014793,30524.0
E01014794,27482.0
E01014795,14677.0
E01014796,27474.0
E01014797,25737.0
E01014798,32339.0
E01014799,3493.0
E01014800,545.0
E01014801,1069.0
E01014802,4656.0
E01014803,22490.0
E01014804,15641.0
E01014805,22340.0
E01014806,4317.0
E01014807,7147.0
E01014808,22787.0
E01014809,7498.0
E01014811,8545.0
E01014812,18007.0
E01014813,17895.0
E01014815,9463.0
E01014816,26526.0
E01014817,22757.0
E01014818,30999.0
E01014819,25617.0
E01014820,11904.0
E01014821,25155.0
E01014822,31922.0
E01014823,30015.0
E01014824,24160.0
E01014825,26345.0
E01014826,24107.0
E01014827,8817.0
E01014828,3307.0
E01014829,1748.0
E01014830,8083.0
E01014831,156.0
E01014832,353.0
E01014833,1030.0
E01014834,2548.0
E01014835,6799.0
E01014836,13441.0
E01014838,21430.0
E01014839,19793.0
E01014840,12846.0
E01014841,7155.0
E01014842,3921.0
E01014843,13733.0
E01014844,1813.0
E01014845,21740.0
E01014846,18600.0
E01014847,23212.0
E01014848,19217.0
E01014849,29643.0
E01014850,29893.0
E01014851,27585.0
E01014852,24658.0
E01014853,31110.0
E01014854,24535.0
E01014855,31186.0
E01014856,21679.0
E01014857,24937.0
E01014858,21350.0
E01014859,29220.0
E01014860,19900.0
E01014861,14305.0
E01014862,26425.0
E01014863,25488.0
E01014864,21849.0
E01014865,19576.0
E01014866,30590.0
E01014867,24585.0
E01014869,32517.0
E01014870,17642.0
E01014871,26723.0
E01014872,27111.0
E01014873,32325.0
E01014874,30767.0
E01014875,30646.0
E01014876,30366.0
E01014877,32504.0
E01014878,32711.0
E01014879,32408.0
E01014880,31725.0
E01014881,31469.0
E01014882,20220.0
E01014883,31634.0
E01014884,19491.0
E01014885,32111.0
E01014886,16277.0
E01014887,31449.0
E01014888,30023.0
E01014889,29152.0
E01014890,22313.0
E01014891,12691.0
E01014892,13660.0
E01014893,20972.0
E01014894,23762.0
E01014895,23870.0
E01014896,25370.0
E01014897,32142.0
E01014898,26811.0
E01014899,27455.0
E01014900,20207.0
E01014901,31788.0
E01014902,32422.0
E01014903,29816.0
E01014904,12612.0
E01014905,27396.0
E01014906,12286.0
E01014907,22548.0
E01014908,27740.0
E01014909,21034.0
E01014910,22095.0
E01014911,31255.0
E01014912,32562.0
E01014913,32086.0
E01014914,18793.0
E01014915,15565.0
E01014916,20551.0
E01014917,19828.0
E01014918,26211.0
E01014919,29899.0
E01014920,27983.0
E01014921,21938.0
E01014922,22539.0
E01014923,14513.0
E01014924,12351.0
E01014925,13515.0
E01014926,6347.0
E01014927,14694.0
E01014928,12283.0
E01014929,19035.0
E01014930,30897.0
E01014931,26701.0
E01014932,30166.0
E01014933,29003.0
E01014934,32550.0
E01014935,29917.0
E01014936,21363.0
E01014937,30780.0
E01014938,26172.0
E01014939,19029.0
E01014940,30214.0
E01014941,8030.0
E01014942,9739.0
E01014943,27573.0
E01014944,31915.0
E01014945,19729.0
E01014946,12695.0
E01014947,20719.0
E01014948,8636.0
E01014950,19933.0
E01014951,8655.0
E01014953,24277.0
E01014954,23288.0
E01014955,26933.0
E01014956,24217.0
E01014957,24641.0
E01014958,11501.0
E01014959,21825.0
E01014960,17226.0
E01014961,12233.0
E01014962,20787.0
E01014963,29820.0
E01014964,31079.0
E01014965,30290.0
E01014967,31982.0
E01014968,10870.0
E01014969,32005.0
E01014972,24052.0
E01014973,13795.0
E01014974,23377.0
E01014975,20744.0
E01014976,8657.0
E01014977,4858.0
E01014978,28535.0
E01014979,32210.0
E01014980,32087.0
E01014982,23757.0
E01014983,12285.0
E01014984,19062.0
E01014985,31546.0
E01014986,18181.0
E01014987,32054.0
E01014988,32419.0
E01014989,17303.0
E01014990,32461.0
E01014991,11707.0
E01014992,30922.0
E01014993,26822.0
E01014994,15881.0
E01014995,31436.0
E01014996,24371.0
E01014998,27647.0
E01014999,30827.0
E01015000,13532.0
E01015001,31399.0
E01015002,19488.0
E01015003,24128.0
E01015004,17705.0
E01015005,17113.0
E01015006,15909.0
E01015007,11180.0
E01015008,18936.0
E01015009,19953.0
E01015010,22098.0
E01015011,12220.0
E01015012,21922.0
E01015013,21690.0
E01015014,30232.0
E01015015,26861.0
E01015016,30602.0
E01015017,21059.0
E01015018,26620.0
E01015019,17026.0
E01015020,12322.0
E01015021,31824.0
E01015022,22774.0
E01015023,3025.0
E01015024,12627.0
E01015025,28304.0
E01015026,3064.0
E01015027,18462.0
E01015028,2063.0
E01015029,13224.0
E01015030,2190.0
E01015031,12003.0
E01015032,7337.0
E01015033,27321.0
E01015034,25044.0
E01015035,22499.0
E01015036,25554.0
E01015037,12391.0
E01015038,24499.0
E01015039,15850.0
E01015040,2142.0
E01015041,6928.0
E01015042,10854.0
E01015043,1196.0
E01015044,3211.0
E01015045,2657.0
E01015046,448.0
E01015047,2529.0
E01015048,2847.0
E01015049,15992.0
E01015050,11586.0
E01015051,14870.0
E01015052,7643.0
E01015053,5121.0
E01015054,12840.0
E01015055,3640.0
E01015056,9261.0
E01015057,2491.0
E01015058,3145.0
E01015059,10581.0
E01015060,6891.0
E01015061,7865.0
E01015062,11922.0
E01015063,7259.0
E01015064,25995.0
E01015065,17468.0
E01015066,19417.0
E01015067,24000.0
E01015068,22105.0
E01015069,9316.0
E01015070,14155.0
E01015071,11846.0
E01015072,4047.0
E01015073,5323.0
E01015074,4167.0
E01015075,4251.0
E01015076,13822.0
E01015077,12551.0
E01015078,1070.0
E01015079,15722.0
E01015080,1590.0
E01015081,5407.0
E01015082,4257.0
E01015083,2077.0
E01015084,8751.0
E01015085,7883.0
E01015086,2712.0
E01015087,2656.0
E01015088,1955.0
E01015089,9252.0
E01015090,24039.0
E01015091,16370.0
E01015092,13508.0
E01015093,8688.0
E01015094,8646.0
E01015095,9503.0
E01015096,7282.0
E01015097,23700.0
E01015098,24268.0
E01015099,18454.0
E01015100,19897.0
E01015101,28553.0
E01015102,19019.0
E01015103,19730.0
E01015104,24458.0
E01015105,26831.0
E01015106,19252.0
E01015107,19848.0
E01015108,27136.0
E01015109,21659.0
E01015110,27975.0
E01015111,24087.0
E01015112,21317.0
E01015113,26574.0
E01015114,25119.0
E01015115,7444.0
E01015116,22941.0
E01015117,21032.0
E01015118,25407.0
E01015119,25498.0
E01015120,23868.0
E01015121,28116.0
E01015122,23593.0
E01015123,17366.0
E01015124,26098.0
E01015125,23360.0
E01015126,28526.0
E01015127,17923.0
E01015128,23612.0
E01015129,13023.0
E01015130,29234.0
E01015131,31190.0
E01015132,17075.0
E01015133,27920.0
E01015134,24541.0
E01015136,22279.0
E01015137,22871.0
E01015138,19736.0
E01015139,16438.0
E01015140,26455.0
E01015141,25625.0
E01015142,10054.0
E01015143,7918.0
E01015144,2943.0
E01015145,1049.0
E01015146,3208.0
E01015147,11978.0
E01015148,9308.0
E01015149,1379.0
E01015150,8265.0
E01015151,1384.0
E01015152,1229.0
E01015153,321.0
E01015155,163.0
E01015156,5247.0
E01015159,7839.0
E01015160,30460.0
E01015161,7989.0
E01015162,6557.0
E01015163,11823.0
E01015164,13032.0
E01015165,22338.0
E01015166,6711.0
E01015167,8723.0
E01015168,6381.0
E01015169,10426.0
E01015170,4746.0
E01015171,5576.0
E01015172,8192.0
E01015173,10966.0
E01015174,16869.0
E01015175,10768.0
E01015176,4932.0
E01015177,12027.0
E01015178,10951.0
E01015179,12813.0
E01015180,2315.0
E01015181,4620.0
E01015182,4502.0
E01015183,11034.0
E01015184,19257.0
E01015185,11161.0
E01015186,4667.0
E01015187,20676.0
E01015188,15849.0
E01015189,9051.0
E01015190,6640.0
E01015191,17574.0
E01015192,6574.0
E01015193,8794.0
E01015194,6414.0
E01015196,1075.0
E01015197,27353.0
E01015198,22217.0
E01015199,26577.0
E01015200,17927.0
E01015201,18678.0
E01015202,16987.0
E01015203,21635.0
E01015204,8386.0
E01015205,14765.0
E01015206,7695.0
E01015207,15246.0
E01015208,30108.0
E01015209,9751.0
E01015210,5885.0
E01015211,22071.0
E01015212,7587.0
E01015213,12830.0
E01015214,2457.0
E01015215,13440.0
E01015216,5665.0
E01015217,736.0
E01015218,6743.0
E01015219,8280.0
E01015220,17447.0
E01015221,11816.0
E01015222,21224.0
E01015223,22894.0
E01015224,18450.0
E01015225,16745.0
E01015226,20933.0
E01015227,25465.0
E01015228,6773.0
E01015229,8910.0
E01015230,23105.0
E01015231,198.0
E01015232,2210.0
E01015233,2532.0
E01015234,6356.0
E01015235,9148.0
E01015236,11715.0
E01015237,14857.0
E01015238,10152.0
E01015239,5045.0
E01015240,6657.0
E01015241,10261.0
E01015242,6458.0
E01015243,16900.0
E01015244,17185.0
E01015245,8262.0
E01015246,19171.0
E01015247,11651.0
E01015248,5974.0
E01015249,8114.0
E01015250,19610.0
E01015251,24494.0
E01015253,20560.0
E01015254,19720.0
E01015255,714.0
E01015256,590.0
E01015257,1026.0
E01015258,12137.0
E01015259,6297.0
E01015260,1360.0
E01015261,2972.0
E01015262,5643.0
E01015263,1839.0
E01015264,20458.0
E01015265,10655.0
E01015266,1442.0
E01015267,1702.0
E01015268,9868.0
E01015269,12122.0
E01015270,7146.0
E01015271,25509.0
E01015272,23287.0
E01015273,6147.0
E01015274,14905.0
E01015275,12847.0
E01015276,10587.0
E01015277,6314.0
E01015279,3033.0
E01015280,4568.0
E01015281,1528.0
E01015286,17355.0
E01015288,3256.0
E01015289,8573.0
E01015290,5392.0
E01015291,16452.0
E01015292,8058.0
E01015293,6565.0
E01015294,8189.0
E01015295,31892.0
E01015296,15496.0
E01015297,25105.0
E01015298,24698.0
E01015299,26859.0
E01015300,27131.0
E01015301,14657.0
E01015302,11803.0
E01015303,10427.0
E01015304,3497.0
E01015305,6513.0
E01015306,6701.0
E01015307,2322.0
E01015308,8299.0
E01015309,2462.0
E01015310,6682.0
E01015311,22836.0
E01015312,2320.0
E01015313,4424.0
E01015314,24235.0
E01015315,31921.0
E01015316,27453.0
E01015317,15473.0
E01015318,18601.0
E01015319,23924.0
E01015320,25059.0
E01015321,10433.0
E01015322,26728.0
E01015323,27934.0
E01015324,19999.0
E01015325,28104.0
E01015326,11967.0
E01015327,12978.0
E01015328,10291.0
E01015329,13983.0
E01015330,19752.0
E01015331,16386.0
E01015332,23753.0
E01015333,23386.0
E01015334,14344.0
E01015335,24388.0
E01015336,17352.0
E01015337,19516.0
E01015338,2993.0
E01015339,12378.0
E01015340,20784.0
E01015341,4301.0
E01015342,30686.0
E01015343,12033.0
E01015344,23636.0
E01015345,12130.0
E01015346,12994.0
E01015348,22558.0
E01015349,17679.0
E01015350,27189.0
E01015351,25913.0
E01015352,21029.0
E01015353,17513.0
E01015354,20571.0
E01015355,18073.0
E01015356,24314.0
E01015357,8064.0
E01015358,15016.0
E01015359,8445.0
E01015360,28191.0
E01015361,17118.0
E01015362,6371.0
E01015363,17601.0
E01015364,26726.0
E01015365,13860.0
E01015366,16795.0
E01015367,6331.0
E01015368,22065.0
E01015369,19638.0
E01015370,22895.0
E01015371,10396.0
E01015372,13567.0
E01015373,18427.0
E01015374,11839.0
E01015375,13151.0
E01015376,20609.0
E01015377,16000.0
E01015378,25138.0
E01015379,4798.0
E01015380,16320.0
E01015381,7272.0
E01015382,12123.0
E01015383,18650.0
E01015384,2697.0
E01015385,9064.0
E01015386,9710.0
E01015387,20483.0
E01015388,27812.0
E01015389,23914.0
E01015390,12001.0
E01015391,21285.0
E01015392,19481.0
E01015393,15483.0
E01015394,24461.0
E01015395,27060.0
E01015396,31723.0
E01015397,31622.0
E01015398,32133.0
E01015399,32547.0
E01015400,32620.0
E01015401,31927.0
E01015402,16557.0
E01015403,27010.0
E01015404,30965.0
E01015405,29125.0
E01015406,26773.0
E01015407,22914.0
E01015408,19438.0
E01015409,10213.0
E01015410,16820.0
E01015411,24276.0
E01015412,28390.0
E01015413,19917.0
E01015414,20155.0
E01015415,6851.0
E01015416,23510.0
E01015417,15524.0
E01015418,21197.0
E01015419,27300.0
E01015420,10982.0
E01015421,15661.0
E01015422,24240.0
E01015424,21809.0
E01015425,20242.0
E01015426,7548.0
E01015427,15147.0
E01015428,21075.0
E01015429,7415.0
E01015430,4235.0
E01015431,29326.0
E01015432,27692.0
E01015433,30080.0
E01015434,30329.0
E01015435,15937.0
E01015436,21479.0
E01015437,28503.0
E01015438,20737.0
E01015439,9437.0
E01015440,18622.0
E01015441,13176.0
E01015442,7712.0
E01015443,9874.0
E01015444,14170.0
E01015445,29395.0
E01015446,20179.0
E01015447,26219.0
E01015448,22799.0
E01015449,9196.0
E01015450,21387.0
E01015451,27227.0
E01015452,30438.0
E01015453,25978.0
E01015454,20568.0
E01015455,32379.0
E01015456,13635.0
E01015457,22195.0
E01015458,30986.0
E01015459,31884.0
E01015460,19140.0
E01015461,15261.0
E01015462,19863.0
E01015463,28400.0
E01015464,31038.0
E01015465,10853.0
E01015466,22274.0
E01015471,30254.0
E01015473,24169.0
E01015475,14981.0
E01015477,9577.0
E01015478,18587.0
E01015479,13827.0
E01015480,15073.0
E01015481,24491.0
E01015482,25664.0
E01015483,27522.0
E01015484,23136.0
E01015485,27428.0
E01015486,21216.0
E01015487,20399.0
E01015488,8145.0
E01015489,18983.0
E01015490,20004.0
E01015491,7073.0
E01015492,10085.0
E01015493,21631.0
E01015494,13458.0
E01015496,19453.0
E01015497,19813.0
E01015498,24728.0
E01015499,30300.0
E01015500,24129.0
E01015501,27560.0
E01015502,11198.0
E01015503,7824.0
E01015504,27007.0
E01015505,15820.0
E01015506,3701.0
E01015507,806.0
E01015508,2544.0
E01015509,13957.0
E01015510,8370.0
E01015511,11002.0
E01015512,31984.0
E01015513,21273.0
E01015514,25400.0
E01015515,31146.0
E01015516,12816.0
E01015517,25841.0
E01015518,32052.0
E01015519,15758.0
E01015520,22303.0
E01015521,31071.0
E01015522,23164.0
E01015523,27822.0
E01015524,21886.0
E01015525,28268.0
E01015526,23075.0
E01015527,8798.0
E01015528,5402.0
E01015529,13343.0
E01015530,8186.0
E01015532,15508.0
E01015533,29771.0
E01015534,24688.0
E01015535,26827.0
E01015537,4460.0
E01015538,2757.0
E01015539,5594.0
E01015540,3612.0
E01015541,2722.0
E01015542,2794.0
E01015543,5975.0
E01015544,1382.0
E01015545,982.0
E01015546,701.0
E01015547,30120.0
E01015548,26744.0
E01015549,23489.0
E01015550,22121.0
E01015551,24693.0
E01015552,20271.0
E01015553,18469.0
E01015554,16290.0
E01015555,13780.0
E01015556,24045.0
E01015557,25154.0
E01015558,2783.0
E01015559,17968.0
E01015560,21772.0
E01015561,24720.0
E01015562,23663.0
E01015563,32290.0
E01015564,29589.0
E01015565,23460.0
E01015566,28997.0
E01015567,19896.0
E01015568,18281.0
E01015569,6838.0
E01015570,4442.0
E01015571,14237.0
E01015572,3022.0
E01015573,3016.0
E01015574,18024.0
E01015575,1670.0
E01015576,20619.0
E01015578,10811.0
E01015579,18389.0
E01015580,9606.0
E01015581,21884.0
E01015582,19792.0
E01015584,23285.0
E01015585,20954.0
E01015586,26764.0
E01015587,16354.0
E01015588,21504.0
E01016301,19275.0
E01016304,17592.0
E01018750,18263.0
E01018751,5443.0
E01018752,17741.0
E01018753,17307.0
E01018754,10851.0
E01018755,18948.0
E01018756,13322.0
E01018757,14711.0
E01018759,9241.0
E01018760,12007.0
E01018761,8151.0
E01018762,10232.0
E01018763,16592.0
E01018764,17353.0
E01018765,13769.0
E01018766,9794.0
E01018767,3275.0
E01018768,16361.0
E01018770,4389.0
E01018771,4080.0
E01018772,22783.0
E01018773,11606.0
E01018774,5474.0
E01018777,12248.0
E01018778,11447.0
E01018779,13130.0
E01018780,11299.0
E01018781,12419.0
E01018782,11858.0
E01018783,13535.0
E01018784,9427.0
E01018785,13965.0
E01018786,19691.0
E01018787,25575.0
E01018788,9788.0
E01018789,22389.0
E01018790,9404.0
E01018791,14298.0
E01018792,23234.0
E01018793,10687.0
E01018794,19540.0
E01018795,22028.0
E01018796,28717.0
E01018797,5989.0
E01018798,17008.0
E01018799,8116.0
E01018800,21524.0
E01018803,22542.0
E01018804,17591.0
E01018805,25327.0
E01018806,23704.0
E01018807,18766.0
E01018808,19436.0
E01018810,23413.0
E01018811,24857.0
E01018812,13456.0
E01018813,20826.0
E01018814,20394.0
E01018815,10154.0
E01018816,22282.0
E01018817,17306.0
E01018818,21470.0
E01018819,20905.0
E01018820,13320.0
E01018821,17016.0
E01018822,26413.0
E01018823,22381.0
E01018824,18672.0
E01018825,10797.0
E01018826,16771.0
E01018827,22832.0
E01018828,16840.0
E01018829,10011.0
E01018830,22921.0
E01018831,15602.0
E01018832,17497.0
E01018833,13522.0
E01018834,17676.0
E01018835,18093.0
E01018836,5896.0
E01018837,15834.0
E01018838,7857.0
E01018839,16008.0
E01018840,15512.0
E01018841,3527.0
E01018842,14177.0
E01018843,12688.0
E01018844,10878.0
E01018845,16304.0
E01018846,10978.0
E01018847,13099.0
E01018848,28183.0
E01018849,16230.0
E01018850,12331.0
E01018851,14205.0
E01018853,17102.0
E01018854,5833.0
E01018856,10228.0
E01018857,5178.0
E01018858,20009.0
E01018859,26096.0
E01018860,6185.0
E01018861,9872.0
E01018862,11239.0
E01018863,12071.0
E01018864,13150.0
E01018865,4895.0
E01018866,11555.0
E01018868,3199.0
E01018869,6618.0
E01018870,577.0
E01018871,12701.0
E01018872,9858.0
E01018873,8198.0
E01018874,13046.0
E01018875,1119.0
E01018876,10560.0
E01018877,12369.0
E01018878,1661.0
E01018879,20297.0
E01018880,12414.0
E01018881,12647.0
E01018882,28617.0
E01018883,21756.0
E01018884,25473.0
E01018885,13958.0
E01018886,22536.0
E01018887,12829.0
E01018888,10850.0
E01018889,22281.0
E01018890,13717.0
E01018891,10543.0
E01018892,12686.0
E01018893,6949.0
E01018894,11407.0
E01018895,9883.0
E01018896,13283.0
E01018897,5096.0
E01018898,2134.0
E01018899,24202.0
E01018900,15255.0
E01018901,20904.0
E01018902,13968.0
E01018903,16214.0
E01018904,15335.0
E01018905,12231.0
E01018906,16680.0
E01018907,8622.0
E01018908,12494.0
E01018909,11654.0
E01018910,1072.0
E01018911,5314.0
E01018912,18098.0
E01018913,11341.0
E01018914,12446.0
E01018915,19202.0
E01018916,9892.0
E01018917,17655.0
E01018918,11152.0
E01018919,12928.0
E01018920,11963.0
E01018921,16270.0
E01018922,11975.0
E01018923,15748.0
E01018924,11848.0
E01018925,9678.0
E01018926,11670.0
E01018927,8507.0
E01018928,4835.0
E01018929,11578.0
E01018930,1821.0
E01018931,15694.0
E01018932,8641.0
E01018933,2579.0
E01018934,21078.0
E01018935,17744.0
E01018936,15673.0
E01018937,8452.0
E01018938,13971.0
E01018940,14805.0
E01018941,10874.0
E01018942,10473.0
E01018943,12514.0
E01018944,10180.0
E01018945,12709.0
E01018946,15719.0
E01018948,13141.0
E01018949,4776.0
E01018950,11253.0
E01018951,10912.0
E01018952,10928.0
E01018953,8356.0
E01018954,11274.0
E01018955,14541.0
E01018956,12564.0
E01018957,16707.0
E01018958,11350.0
E01018959,16351.0
E01018960,16037.0
E01018961,11786.0
E01018962,12296.0
E01018965,11408.0
E01018966,16110.0
E01018967,14488.0
E01018968,10268.0
E01018969,11913.0
E01018970,25130.0
E01018971,22922.0
E01018972,13666.0
E01018973,16928.0
E01018974,8403.0
E01018975,14544.0
E01018976,14563.0
E01018977,5782.0
E01018978,9266.0
E01018979,12662.0
E01018980,11541.0
E01018981,19705.0
E01018982,11436.0
E01018983,22261.0
E01018985,19312.0
E01018986,18366.0
E01018987,12046.0
E01018988,11550.0
E01018989,8170.0
E01018990,9695.0
E01018991,8687.0
E01018993,8018.0
E01018994,10153.0
E01018995,2447.0
E01018996,4768.0
E01018997,884.0
E01018998,8062.0
E01018999,3874.0
E01019000,9826.0
E01019001,7869.0
